name;data;tipo;categoria;nome_publicação;subtítulo_publicação;edicao;data_publicacao;descricao;imagem;url
Reino Unido;01/03/2023;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 13;mar/23;Publicação: Março/2023;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-676/BOG%202%C2%BAsemestre2022_2023.02.24.pdf
Guiana;01/08/2023;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 14;ago/23;Publicação: Agosto/2023;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-688/BOG%201%C2%BAsemestre2023_2023.08.31.pdf
Suriname;01/08/2023;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 14;ago/23;Publicação: Agosto/2023;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-688/BOG%201%C2%BAsemestre2023_2023.08.31.pdf
Emirados Árabes Unidos;01/03/2024;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 15;mar/24;Publicação: Março/2024;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-706/BOG%202%C2%BAsemestre2023.pdf
Canadá;01/08/2024;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 16;ago/24;Publicação: Agosto/2024;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-722/BOG%2016.pdf
Alemanha;01/09/2022;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 12;set/22;Publicação: Setembro/2022;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-645/BOG%201%C2%BAsemestre2022.pdf
Austrália;01/02/2022;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 11;fev/22;Publicação: Fevereiro/2022;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-619/BOG%202%C2%BAsemestre2021_2022.02.10%20(rev).pdf
Estados Unidos da América;01/07/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 10;jul/21;Publicação: Julho/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-595/10%C2%BA%20Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20%C3%93leo%20G%C3%A1s.pdf
Índia;01/07/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 09;jan/21;Publicação: Janeiro/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-573/BOG%202%C2%BAsemestre2020_2021.01.28.pdf
Irã;01/07/2020;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 08;jul/20;Publicação: Julho/2020;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-524/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20%C3%93leo%20e%20G%C3%A1s_2020.07.31.pdf
Arábia Saudita;01/01/2020;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 07;jun/19;Publicação: 2º Semestre/2019;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-508/7%20Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20%C3%93leo%20e%20G%C3%A1s.pdf
Argentina;01/07/2019;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 06;jan/19;Publicação: 1º Semestre/2019;A <strong>Argentina</strong> foi o destaque da seção Panorama. As <u>descobertas de reservas não convencionais de elevado potencial</u>, a <u>demanda regional de hidrocarbonetos</u> e a <u>movimentação de leilões de blocos exploratórios</u> representam perspectivas promissoras para a indústria petrolífera.;Timeline\Argentina_43647_Boletim de Conjuntura da Indústria do Óleo & Gás.png;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-471/Boletim%20de%20Conjuntura%20da%20Indu%CC%81stria%20do%20Petro%CC%81leo_1S19_2019_07_04_final.pdf
Venezuela;01/01/2019;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 05;jun/18;Publicação:  2º Semestre/2018;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-450/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo_2019_01_04.pdf
Rússia;01/07/2018;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 04;jan/18;Publicação: 1º Semestre/2018;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-399/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo_1sem2018_07_04.pdf
Nigéria;01/01/2018;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 03;jun/17;Publicação: 2º Semestre/2017;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-336/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo_2sem2017.pdf
Angola;01/01/2018;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 03;jun/17;Publicação: 2º Semestre/2017;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-336/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo_2sem2017.pdf
República do Congo;01/01/2018;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 03;jun/17;Publicação: 2º Semestre/2017;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-336/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo_2sem2017.pdf
Guiné Equatorial;01/01/2018;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 03;jun/17;Publicação: 2º Semestre/2017;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-336/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo_2sem2017.pdf
China;01/07/2017;Petróleo e Derivados;Boletim de Óleo e Gás;Boletim de Conjuntura da Indústria do Óleo & Gás;Número 02;jan/17;Publicação: 1º Semestre/2017;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-337/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo%20-%20n%C2%BA%202.pdf
Brasil;01/11/2018;Petróleo e Derivados;Relatório - Petróleo e derivados;Recent Developments In The Brazilian Oil Industry;Special Report;nov/18;Publicação: Novembro/2018;;;https://www.epe.gov.br/sites-en/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-189/English%20ROG_v%20final_2018.11.01.pdf
Brasil;01/12/2019;Petróleo e Derivados;Relatório - Petróleo e derivados;Brazilian Oil & Gas Report 2019/2020;Trends And Recent Developments;dez/20;Publicação: Dezembro/2020;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-448/topico-565/EPE_Brazilian%20Oil%20and%20Gas%20Report%202019-2020.pdf
México;01/09/2016;Petróleo e Derivados;Relatório - Petróleo e derivados;Marco Regulatório Da Indústria Do Petróleo No México;Nota Técnica;set/16;Publicação: Setembro/2016;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-250/topico-306/NT_Mexico%202016set%5b1%5d.pdf
