name;data;tipo;thumbnail_url;url
Reino Unido;mar/23;Boletim de Óleo e Gás;2022S2_reinounido.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-676/BOG%202%C2%BAsemestre2022_2023.02.24.pdf
Guiana;ago/23;Boletim de Óleo e Gás;2023S1_guiana.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-688/BOG%201%C2%BAsemestre2023_2023.08.31.pdf
Suriname;ago/23;Boletim de Óleo e Gás;2023S1_guiana.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-688/BOG%201%C2%BAsemestre2023_2023.08.31.pdf
Emirados Árabes Unidos;mar/24;Boletim de Óleo e Gás;2023S2_EAU.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-706/BOG%202%C2%BAsemestre2023.pdf
Canadá;ago/24;Boletim de Óleo e Gás;2024S1_canada.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-722/BOG%2016.pdf
Alemanha;set/22;Boletim de Óleo e Gás;2022S1_alemanha.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-645/BOG%201%C2%BAsemestre2022.pdf
Austrália;fev/22;Boletim de Óleo e Gás;2021S2_australia.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-619/BOG%202%C2%BAsemestre2021_2022.02.10%20(rev).pdf
Estados Unidos da América;jul/21;Boletim de Óleo e Gás;2021S1_EUA.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-595/10%C2%BA%20Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20%C3%93leo%20G%C3%A1s.pdf
Índia;jul/21;Boletim de Óleo e Gás;2020S2_India.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-573/BOG%202%C2%BAsemestre2020_2021.01.28.pdf
Irã;jul/20;Boletim de Óleo e Gás;2020S1_Ira.jpg;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-524/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20%C3%93leo%20e%20G%C3%A1s_2020.07.31.pdf
